Date,New Delhi,Mumbai,Kolkata,Chennai
2024-10-12,,0.8236145267303173,1.1569165358689228,
2024-10-13,0.48927431501819707,0.32922738488982706,,
2024-10-14,,,0.8635191298169781,
2024-10-15,0.3581698197782999,,,
2024-10-16,,,2.0921375004692147,
2024-10-17,0.47316037227130486,,,
2024-10-19,0.43442727506545487,,,
2024-10-20,,,0.7649188369574703,
2024-10-21,,,,
2024-10-29,,,0.3354540039386068,1.93701163748625
2024-10-30,0.41267260173295445,0.48827220335276367,,
2024-10-31,,,0.5893497608170698,
2024-11-01,0.3049840591122208,0.8163143266771488,,
2024-11-02,0.9467564912361391,,0.4549105030315102,
2024-11-03,0.7867782990392308,0.3543046875251534,0.8453610479191309,
2024-11-04,1.4822942774641374,,0.8037552681631941,0.30885672469687936
2024-11-05,0.9055717279966411,0.511369097562833,1.0225694293809091,
2024-11-06,1.1381186861727512,0.34190667409203424,,
2024-11-07,,0.3689540193861977,0.6131316319262975,
2024-11-08,1.2729107244075837,0.49326143032779113,,0.228022150820793
2024-11-09,,,0.20306869434728447,
2024-11-10,0.7237965272939499,0.6832305854638281,,0.39551128422193815
2024-11-11,,,0.3758444882713778,
2024-11-12,0.42334767388604067,0.44147393959350867,,
2024-11-13,,,0.37243618624985714,
2024-11-14,1.2597677648166359,0.2633758091751834,,
2024-11-15,0.920489409679099,,0.44108209932205555,
2024-11-16,1.124700759449923,1.1738026669292256,0.4020996396974368,
2024-11-17,1.603702437792025,,0.6862565258304448,
2024-11-18,,0.18564361882374394,0.5834668890553663,
2024-11-19,2.1119243190099053,0.3810026485596528,0.638563820472998,
2024-11-20,,0.5806512567089855,0.42620699255039274,
2024-11-21,0.6162740689988183,0.3947733055690656,,
2024-11-22,,,0.7846855168585046,
2024-11-23,1.0123245614786747,0.5132183849051419,,
2024-11-24,,,1.0890421217465327,
2024-11-25,1.900436281833666,0.7572459388551236,,
2024-11-26,,,0.7969630874336938,
2024-11-27,0.482617662153911,0.2467710500550867,,
